"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"ANTH 102",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTH 103",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 109",0,0,0,0,0,0,0,1,0,0,0,0,0
"ANTH 110",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 116",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTH 122",0,1,0,0,0,0,0,1,0,0,0,1,0
"ANTH 131",0,0,0,0,0,0,1,1,0,0,0,1,0
"ANTH 134",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 135",0,1,0,0,0,0,0,1,0,0,0,1,0
"ANTH 136",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 137",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 138",0,1,0,1,0,0,0,0,0,0,0,1,0
"ANTH 141",0,1,0,0,0,0,0,1,0,0,0,1,0
"ANTH 142",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 143",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTH 156",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 169",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTH 172",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTH 176",0,1,0,1,0,0,0,1,0,0,0,1,0
"ANTH 191",0,0,0,0,0,0,0,1,0,1,0,0,0
"ANTH 2",0,0,0,0,0,0,0,1,0,0,0,1,0
"ANTH 25",0,1,0,0,0,0,0,1,0,0,0,1,0
"ANTH 3",0,1,0,0,0,0,0,1,0,0,0,1,0
"ANTH 5",0,0,1,0,0,1,0,0,0,0,0,0,0
"ANTH 7",0,0,0,0,0,0,0,1,0,0,0,0,0
"ART 1",0,1,0,0,0,0,0,0,1,0,0,0,0
"ART 106",0,0,0,0,0,0,0,0,1,0,0,0,0
"ART 125",0,0,0,0,0,0,0,0,1,0,0,0,0
"ART 7",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 1",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 103",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 105",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 107",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 109",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 111",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 113",0,0,0,0,0,0,0,0,1,0,0,0,0
"ARTHI 115",0,0,0,1,0,0,0,0,0,0,0,0,0
